scenario,threshold,longitude,latitude,frequency_change_per_year
ssp245,t25,-87.36116138062346,30.991877302123488,0.18080807
ssp245,t25,-87.13658255959358,30.991877302123488,0.17979796
ssp245,t25,-86.9120037385637,30.991877302123488,0.17676765
ssp245,t25,-86.68742491753382,30.991877302123488,0.18181819
ssp245,t25,-86.46284609650394,30.991877302123488,0.19696969
ssp245,t25,-86.23826727547406,30.991877302123488,0.18282826
ssp245,t25,-86.01368845444418,30.991877302123488,0.19393942
ssp245,t25,-85.7891096334143,30.991877302123488,0.19393939
ssp245,t25,-85.56453081238442,30.991877302123488,0.18181819
ssp245,t25,-85.33995199135454,30.991877302123488,0.18787877
ssp245,t25,-85.11537317032466,30.991877302123488,0.18787877
ssp245,t25,-87.36116138062346,30.767298481093608,0.2111111
ssp245,t25,-87.13658255959358,30.767298481093608,0.2111111
ssp245,t25,-86.9120037385637,30.767298481093608,0.20909087
ssp245,t25,-86.68742491753382,30.767298481093608,0.21313128
ssp245,t25,-86.46284609650394,30.767298481093608,0.19898991
ssp245,t25,-86.23826727547406,30.767298481093608,0.18181819
ssp245,t25,-86.01368845444418,30.767298481093608,0.19292928
ssp245,t25,-85.7891096334143,30.767298481093608,0.16565654
ssp245,t25,-85.56453081238442,30.767298481093608,0.17373738
ssp245,t25,-85.33995199135454,30.767298481093608,0.17979796
ssp245,t25,-85.11537317032466,30.767298481093608,0.17878787
ssp245,t25,-84.89079434929477,30.767298481093608,0.18282826
ssp245,t25,-84.66621552826489,30.767298481093608,0.20505047
ssp245,t25,-84.441636707235,30.767298481093608,0.21010101
ssp245,t25,-84.21705788620513,30.767298481093608,0.21717173
ssp245,t25,-83.99247906517525,30.767298481093608,0.22525251
ssp245,t25,-81.97126967590633,30.767298481093608,0.22323233
ssp245,t25,-81.74669085487645,30.767298481093608,0.23333332
ssp245,t25,-87.36116138062346,30.542719660063728,0.20707066
ssp245,t25,-87.13658255959358,30.542719660063728,0.20707066
ssp245,t25,-86.9120037385637,30.542719660063728,0.18181819
ssp245,t25,-86.68742491753382,30.542719660063728,0.17070706
ssp245,t25,-86.46284609650394,30.542719660063728,0.15959595
ssp245,t25,-86.23826727547406,30.542719660063728,0.15858586
ssp245,t25,-86.01368845444418,30.542719660063728,0.16565657
ssp245,t25,-85.7891096334143,30.542719660063728,0.16969697
ssp245,t25,-85.56453081238442,30.542719660063728,0.17474748
ssp245,t25,-85.33995199135454,30.542719660063728,0.17272729
ssp245,t25,-85.11537317032466,30.542719660063728,0.17474747
ssp245,t25,-84.89079434929477,30.542719660063728,0.17171718
ssp245,t25,-84.66621552826489,30.542719660063728,0.15959598
ssp245,t25,-84.441636707235,30.542719660063728,0.18181819
ssp245,t25,-84.21705788620513,30.542719660063728,0.19797981
ssp245,t25,-83.99247906517525,30.542719660063728,0.22020201
ssp245,t25,-83.76790024414537,30.542719660063728,0.23232323
ssp245,t25,-83.54332142311549,30.542719660063728,0.26868683
ssp245,t25,-83.3187426020856,30.542719660063728,0.26767674
ssp245,t25,-83.09416378105573,30.542719660063728,0.28181818
ssp245,t25,-82.86958496002585,30.542719660063728,0.28080806
ssp245,t25,-82.64500613899597,30.542719660063728,0.29696968
ssp245,t25,-82.42042731796609,30.542719660063728,0.29292926
ssp245,t25,-81.97126967590633,30.542719660063728,0.24848482
ssp245,t25,-81.74669085487645,30.542719660063728,0.24848479
ssp245,t25,-81.52211203384657,30.542719660063728,0.23636363
ssp245,t25,-85.7891096334143,30.318140839033845,0.1818182
ssp245,t25,-85.56453081238442,30.318140839033845,0.15757577
ssp245,t25,-85.33995199135454,30.318140839033845,0.17070706
ssp245,t25,-85.11537317032466,30.318140839033845,0.17070706
ssp245,t25,-84.89079434929477,30.318140839033845,0.1787879
ssp245,t25,-84.66621552826489,30.318140839033845,0.16363637
ssp245,t25,-84.441636707235,30.318140839033845,0.1808081
ssp245,t25,-84.21705788620513,30.318140839033845,0.20101012
ssp245,t25,-83.99247906517525,30.318140839033845,0.23636365
ssp245,t25,-83.76790024414537,30.318140839033845,0.24141413
ssp245,t25,-83.54332142311549,30.318140839033845,0.2515151
ssp245,t25,-83.3187426020856,30.318140839033845,0.24040402
ssp245,t25,-83.09416378105573,30.318140839033845,0.25555554
ssp245,t25,-82.86958496002585,30.318140839033845,0.25858584
ssp245,t25,-82.64500613899597,30.318140839033845,0.28484848
ssp245,t25,-82.42042731796609,30.318140839033845,0.29494953
ssp245,t25,-82.19584849693621,30.318140839033845,0.289899
ssp245,t25,-81.97126967590633,30.318140839033845,0.26060608
ssp245,t25,-81.74669085487645,30.318140839033845,0.23737372
ssp245,t25,-81.52211203384657,30.318140839033845,0.25151512
ssp245,t25,-85.56453081238442,30.093562018003965,0.16666666
ssp245,t25,-85.33995199135454,30.093562018003965,0.16161616
ssp245,t25,-85.11537317032466,30.093562018003965,0.16161616
ssp245,t25,-84.89079434929477,30.093562018003965,0.17373738
ssp245,t25,-84.66621552826489,30.093562018003965,0.17171718
ssp245,t25,-83.76790024414537,30.093562018003965,0.25858584
ssp245,t25,-83.54332142311549,30.093562018003965,0.28282824
ssp245,t25,-83.3187426020856,30.093562018003965,0.2565656
ssp245,t25,-83.09416378105573,30.093562018003965,0.26666668
ssp245,t25,-82.86958496002585,30.093562018003965,0.26666668
ssp245,t25,-82.64500613899597,30.093562018003965,0.26262623
ssp245,t25,-82.42042731796609,30.093562018003965,0.2525252
ssp245,t25,-82.19584849693621,30.093562018003965,0.24949493
ssp245,t25,-81.97126967590633,30.093562018003965,0.26060605
ssp245,t25,-81.74669085487645,30.093562018003965,0.2515151
ssp245,t25,-81.52211203384657,30.093562018003965,0.23939393
ssp245,t25,-85.33995199135454,29.868983196974085,0.16161616
