scenario,model,threshold,mean_change,median_change,std_change,min_change,max_change
ssp585,KIOST-ESM,t100,0.006500378251075745,0.0,0.020526519045233727,-0.03333333507180214,0.3333333432674408
ssp585,MIROC6,t100,0.006301966030150652,0.0,0.024774732068181038,-0.03333333507180214,0.5666666626930237
ssp585,GFDL-CM4,t100,0.006235828157514334,0.0,0.023210255429148674,-0.03333333507180214,0.5
ssp585,ACCESS-ESM1-5,t100,0.005829553585499525,0.0,0.021583033725619316,0.0,0.4333333373069763
ssp585,NorESM2-MM,t100,0.004743008874356747,0.0,0.01733877696096897,-0.03333333507180214,0.36666667461395264
ssp585,CESM2,t100,0.004743008408695459,0.0,0.01895289309322834,-0.03333333507180214,0.30000001192092896
ssp585,BCC-CSM2-MR,t100,0.004554043989628553,0.0,0.020328529179096222,-0.03333333507180214,0.4000000059604645
ssp585,CNRM-CM6-1,t100,0.0042989421635866165,0.0,0.017855551093816757,-0.06666667014360428,0.36666667461395264
ssp585,INM-CM4-8,t100,0.004166666883975267,0.0,0.014952210709452629,-0.06666667014360428,0.3333333432674408
ssp585,ACCESS-CM2,t100,0.003902116557583213,0.0,0.018414177000522614,-0.06666667014360428,0.36666667461395264
ssp585,CMCC-ESM2,t100,0.003798185847699642,0.0,0.0200323648750782,-0.06666667014360428,0.3333333432674408
ssp585,TaiESM1,t100,0.003524187719449401,0.0,0.019142985343933105,-0.03333333507180214,0.46666666865348816
ssp585,GFDL-ESM4,t100,0.003495842916890979,0.0,0.02011866495013237,-0.03333333507180214,0.46666666865348816
ssp585,CanESM5,t100,0.003250189358368516,0.0,0.012120506726205349,-0.13333334028720856,0.23333333432674408
ssp585,FGOALS-g3,t100,0.0030328796710819006,0.0,0.016945822164416313,-0.03333333507180214,0.4000000059604645
ssp585,CNRM-ESM2-1,t100,0.0029667424969375134,0.0,0.016855070367455482,-0.03333333507180214,0.5
ssp585,NorESM2-LM,t100,0.0025510203558951616,0.0,0.015586065128445625,-0.03333333507180214,0.4333333373069763
ssp585,EC-Earth3,t100,0.0022675737272948027,0.0,0.018251152709126472,-0.03333333507180214,0.46666666865348816
ssp585,MIROC-ES2L,t100,0.0022581256926059723,0.0,0.014294630847871304,0.0,0.46666666865348816
ssp585,CMCC-CM2-SR5,t100,0.00222978089004755,0.0,0.014807631261646748,-0.03333333507180214,0.4333333373069763
ssp585,MPI-ESM1-2-LR,t100,0.0017384730745106936,0.0,0.013332432135939598,-0.03333333507180214,0.4000000059604645
ssp585,EC-Earth3-Veg-LR,t100,0.00160619814414531,0.0,0.016029078513383865,-0.06666667014360428,0.5
ssp585,INM-CM5-0,t100,0.0015022677835077047,0.0,0.014349879696965218,-0.06666667014360428,0.4000000059604645
ssp585,MRI-ESM2-0,t100,0.001483371015638113,0.0,0.012623954564332962,-0.03333333507180214,0.4333333373069763
ssp585,NESM3,t100,0.0013510962016880512,0.0,0.014342961832880974,-0.03333333507180214,0.36666667461395264
ssp585,MPI-ESM1-2-HR,t100,0.0012566138757392764,0.0,0.011167461983859539,-0.06666667014360428,0.30000001192092896
ssp585,IPSL-CM6A-LR,t25,0.07762660831212997,0.0,0.12348169833421707,-0.06666667014360428,0.6000000238418579
ssp585,UKESM1-0-LL,t25,0.06782879680395126,0.0,0.09601651877164841,-0.03333333507180214,0.6333333253860474
ssp585,GFDL-CM4,t25,0.0664021223783493,0.0,0.09689656645059586,-0.06666667014360428,0.5666666626930237
ssp585,CESM2-WACCM,t25,0.06190476939082146,0.0,0.09489355981349945,-0.06666667014360428,0.5333333611488342
ssp585,GISS-E2-1-G,t25,0.059542711824178696,0.0,0.08579665422439575,-0.06666667014360428,0.4000000059604645
ssp585,KIOST-ESM,t25,0.05516818165779114,0.0,0.07343991845846176,-0.03333333507180214,0.36666667461395264
ssp585,MIROC6,t25,0.053817082196474075,0.0,0.09079195559024811,-0.06666667014360428,0.46666666865348816
ssp585,KACE-1-0-G,t25,0.05338246747851372,0.0,0.08810537308454514,-0.06666667014360428,0.46666666865348816
ssp585,HadGEM3-GC31-LL,t25,0.052910059690475464,0.0,0.09121653437614441,-0.06666667014360428,0.6000000238418579
ssp585,ACCESS-ESM1-5,t25,0.051133789122104645,0.0,0.07495677471160889,-0.03333333507180214,0.4333333373069763
ssp585,TaiESM1,t25,0.04911186918616295,0.0,0.08036962896585464,-0.06666667014360428,0.5333333611488342
ssp585,NorESM2-MM,t25,0.04649471119046211,0.0,0.07460526376962662,-0.03333333507180214,0.4000000059604645
ssp585,ACCESS-CM2,t25,0.04351852089166641,0.0,0.07446502894163132,-0.06666667014360428,0.46666666865348816
ssp585,CESM2,t25,0.043206728994846344,0.0,0.07363323867321014,-0.06666667014360428,0.46666666865348816
ssp585,GFDL-ESM4,t25,0.041600532829761505,0.0,0.06879626214504242,-0.06666667014360428,0.4000000059604645
ssp585,CNRM-CM6-1,t25,0.03928571566939354,0.0,0.06765495240688324,-0.06666667014360428,0.5666666626930237
ssp585,INM-CM4-8,t25,0.03889834135770798,0.0,0.06168731674551964,-0.10000000149011612,0.4000000059604645
ssp585,BCC-CSM2-MR,t25,0.03885110095143318,0.0,0.07604841887950897,-0.06666667014360428,0.46666666865348816
ssp585,NESM3,t25,0.03647014498710632,0.0,0.06678645312786102,-0.06666667014360428,0.46666666865348816
ssp585,EC-Earth3,t25,0.03632841631770134,0.0,0.06695543229579926,-0.06666667014360428,0.4333333373069763
